# board=.../PWM2DAC/PWM2DAC.bot.mill.gcode
# depth=-1.600000
# pass=1
# preview window width=1280 height=1024
-1.90500, 1.90500,-30.15000, 1.90500
-30.15000, 1.90500,-30.15000,48.88500
-30.15000,48.88500,-1.90500,48.88500
-1.90500,48.88500,-1.90500, 1.90500
-1.90500, 1.90500,-30.15000, 1.90500
-30.15000, 1.90500,-30.15000,48.88500
-30.15000,48.88500,-1.90500,48.88500
-1.90500,48.88500,-1.90500, 1.90500
-1.90500, 1.90500,-30.15000, 1.90500
-30.15000, 1.90500,-30.15000,48.88500
-30.15000,48.88500,-1.90500,48.88500
-1.90500,48.88500,-1.90500, 1.90500
-1.90500, 1.90500,-30.15000, 1.90500
-30.15000, 1.90500,-30.15000,48.88500
-30.15000,48.88500,-1.90500,48.88500
-1.90500,48.88500,-1.90500, 1.90500
-1.90500, 1.90500,-30.15000, 1.90500
-30.15000, 1.90500,-30.15000,48.88500
-30.15000,48.88500,-1.90500,48.88500
-1.90500,48.88500,-1.90500, 1.90500
-1.90500, 1.90500,-30.15000, 1.90500
-30.15000, 1.90500,-30.15000,48.88500
-30.15000,48.88500,-1.90500,48.88500
-1.90500,48.88500,-1.90500, 1.90500
